province,district,palika,sex,breakdown,sector,value
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Total,15 - 19,65.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Total,20 - 24,370.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Total,25 - 29,511.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Total,30 - 34,500.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Total,35 - 39,560.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Total,40 - 44,719.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Total,45 - 49,713.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Student,Total No. of children born alive in last 12 months,47.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Student,15 - 19,11.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Student,20 - 24,32.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Student,25 - 29,4.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Student,30 - 34,0.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Student,35 - 39,0.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Student,40 - 44,0.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Student,45 - 49,0.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Household chores,Total No. of children born alive in last 12 months,2077.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Household chores,15 - 19,38.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Household chores,20 - 24,195.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Household chores,25 - 29,313.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Household chores,30 - 34,285.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Household chores,35 - 39,340.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Household chores,40 - 44,454.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Household chores,45 - 49,452.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Family care,Total No. of children born alive in last 12 months,806.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Family care,15 - 19,9.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Family care,20 - 24,95.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Family care,25 - 29,119.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Family care,30 - 34,147.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Family care,35 - 39,140.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Family care,40 - 44,147.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Family care,45 - 49,149.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Disable/sickness,Total No. of children born alive in last 12 months,60.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Disable/sickness,15 - 19,0.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Disable/sickness,20 - 24,1.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Disable/sickness,25 - 29,3.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Disable/sickness,30 - 34,3.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Disable/sickness,35 - 39,18.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Disable/sickness,40 - 44,18.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Disable/sickness,45 - 49,17.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Penson / income,Total No. of children born alive in last 12 months,24.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Penson / income,15 - 19,0.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Penson / income,20 - 24,2.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Penson / income,25 - 29,9.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Penson / income,30 - 34,5.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Penson / income,35 - 39,0.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Penson / income,40 - 44,2.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Penson / income,45 - 49,6.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Social work/volunteer,Total No. of children born alive in last 12 months,2.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Social work/volunteer,15 - 19,0.0
