province,district,palika,sex,breakdown,sector,value,district_code,province_code,palika_code
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Penson / income,35 - 39,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Penson / income,40 - 44,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Penson / income,45 - 49,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Social work/volunteer,Total No. of children born alive in last 12 months,4.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Social work/volunteer,15 - 19,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Social work/volunteer,20 - 24,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Social work/volunteer,25 - 29,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Social work/volunteer,30 - 34,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Social work/volunteer,35 - 39,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Social work/volunteer,40 - 44,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Social work/volunteer,45 - 49,4.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Other,Total No. of children born alive in last 12 months,207.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Other,15 - 19,2.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Other,20 - 24,18.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Other,25 - 29,38.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Other,30 - 34,37.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Other,35 - 39,16.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Other,40 - 44,41.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Other,45 - 49,55.0,301,3,30104
