Area (level 1),Area (level 2),Area (level 3),Age group in years,Indicator,Value
KOSHI,Taplejung,Phaktanlung Gaunpalika,95+ Yrs.,Population - Female,2
KOSHI,Taplejung,Mikwakhola Gaunpalika,All Ages,Population - Total,7964
KOSHI,Taplejung,Mikwakhola Gaunpalika,All Ages,Population - Male,3954
KOSHI,Taplejung,Mikwakhola Gaunpalika,All Ages,Population - Female,4010
KOSHI,Taplejung,Mikwakhola Gaunpalika,00-04 Yrs.,Population - Total,751
KOSHI,Taplejung,Mikwakhola Gaunpalika,00-04 Yrs.,Population - Male,394
KOSHI,Taplejung,Mikwakhola Gaunpalika,00-04 Yrs.,Population - Female,357
KOSHI,Taplejung,Mikwakhola Gaunpalika,05-09 Yrs.,Population - Total,829
KOSHI,Taplejung,Mikwakhola Gaunpalika,05-09 Yrs.,Population - Male,437
KOSHI,Taplejung,Mikwakhola Gaunpalika,05-09 Yrs.,Population - Female,392
KOSHI,Taplejung,Mikwakhola Gaunpalika,10-14 Yrs.,Population - Total,800
KOSHI,Taplejung,Mikwakhola Gaunpalika,10-14 Yrs.,Population - Male,384
KOSHI,Taplejung,Mikwakhola Gaunpalika,10-14 Yrs.,Population - Female,416
KOSHI,Taplejung,Mikwakhola Gaunpalika,15-19 Yrs.,Population - Total,823
KOSHI,Taplejung,Mikwakhola Gaunpalika,15-19 Yrs.,Population - Male,394
KOSHI,Taplejung,Mikwakhola Gaunpalika,15-19 Yrs.,Population - Female,429
KOSHI,Taplejung,Mikwakhola Gaunpalika,20-24 Yrs.,Population - Total,822
KOSHI,Taplejung,Mikwakhola Gaunpalika,20-24 Yrs.,Population - Male,392
KOSHI,Taplejung,Mikwakhola Gaunpalika,20-24 Yrs.,Population - Female,430
KOSHI,Taplejung,Mikwakhola Gaunpalika,25-29 Yrs.,Population - Total,684
KOSHI,Taplejung,Mikwakhola Gaunpalika,25-29 Yrs.,Population - Male,328
KOSHI,Taplejung,Mikwakhola Gaunpalika,25-29 Yrs.,Population - Female,356
KOSHI,Taplejung,Mikwakhola Gaunpalika,30-34 Yrs.,Population - Total,538
KOSHI,Taplejung,Mikwakhola Gaunpalika,30-34 Yrs.,Population - Male,272
KOSHI,Taplejung,Mikwakhola Gaunpalika,30-34 Yrs.,Population - Female,266
KOSHI,Taplejung,Mikwakhola Gaunpalika,35-39 Yrs.,Population - Total,413
KOSHI,Taplejung,Mikwakhola Gaunpalika,35-39 Yrs.,Population - Male,191
KOSHI,Taplejung,Mikwakhola Gaunpalika,35-39 Yrs.,Population - Female,222
KOSHI,Taplejung,Mikwakhola Gaunpalika,40-44 Yrs.,Population - Total,367
KOSHI,Taplejung,Mikwakhola Gaunpalika,40-44 Yrs.,Population - Male,180
KOSHI,Taplejung,Mikwakhola Gaunpalika,40-44 Yrs.,Population - Female,187
KOSHI,Taplejung,Mikwakhola Gaunpalika,45-49 Yrs.,Population - Total,335
KOSHI,Taplejung,Mikwakhola Gaunpalika,45-49 Yrs.,Population - Male,170
KOSHI,Taplejung,Mikwakhola Gaunpalika,45-49 Yrs.,Population - Female,165
KOSHI,Taplejung,Mikwakhola Gaunpalika,50-54 Yrs.,Population - Total,389
KOSHI,Taplejung,Mikwakhola Gaunpalika,50-54 Yrs.,Population - Male,194
KOSHI,Taplejung,Mikwakhola Gaunpalika,50-54 Yrs.,Population - Female,195
KOSHI,Taplejung,Mikwakhola Gaunpalika,55-59 Yrs.,Population - Total,331
KOSHI,Taplejung,Mikwakhola Gaunpalika,55-59 Yrs.,Population - Male,165
KOSHI,Taplejung,Mikwakhola Gaunpalika,55-59 Yrs.,Population - Female,166
KOSHI,Taplejung,Mikwakhola Gaunpalika,60-64 Yrs.,Population - Total,273
KOSHI,Taplejung,Mikwakhola Gaunpalika,60-64 Yrs.,Population - Male,147
KOSHI,Taplejung,Mikwakhola Gaunpalika,60-64 Yrs.,Population - Female,126
KOSHI,Taplejung,Mikwakhola Gaunpalika,65-69 Yrs.,Population - Total,237
KOSHI,Taplejung,Mikwakhola Gaunpalika,65-69 Yrs.,Population - Male,116
KOSHI,Taplejung,Mikwakhola Gaunpalika,65-69 Yrs.,Population - Female,121
KOSHI,Taplejung,Mikwakhola Gaunpalika,70-74 Yrs.,Population - Total,205
KOSHI,Taplejung,Mikwakhola Gaunpalika,70-74 Yrs.,Population - Male,103
KOSHI,Taplejung,Mikwakhola Gaunpalika,70-74 Yrs.,Population - Female,102
KOSHI,Taplejung,Mikwakhola Gaunpalika,75-79 Yrs.,Population - Total,97
KOSHI,Taplejung,Mikwakhola Gaunpalika,75-79 Yrs.,Population - Male,53
KOSHI,Taplejung,Mikwakhola Gaunpalika,75-79 Yrs.,Population - Female,44
KOSHI,Taplejung,Mikwakhola Gaunpalika,80-84 Yrs.,Population - Total,37
KOSHI,Taplejung,Mikwakhola Gaunpalika,80-84 Yrs.,Population - Male,17
KOSHI,Taplejung,Mikwakhola Gaunpalika,80-84 Yrs.,Population - Female,20
KOSHI,Taplejung,Mikwakhola Gaunpalika,85-89 Yrs.,Population - Total,22
KOSHI,Taplejung,Mikwakhola Gaunpalika,85-89 Yrs.,Population - Male,14
KOSHI,Taplejung,Mikwakhola Gaunpalika,85-89 Yrs.,Population - Female,8
KOSHI,Taplejung,Mikwakhola Gaunpalika,90-94 Yrs.,Population - Total,9
KOSHI,Taplejung,Mikwakhola Gaunpalika,90-94 Yrs.,Population - Male,3
KOSHI,Taplejung,Mikwakhola Gaunpalika,90-94 Yrs.,Population - Female,6
KOSHI,Taplejung,Mikwakhola Gaunpalika,95+ Yrs.,Population - Total,2
KOSHI,Taplejung,Mikwakhola Gaunpalika,95+ Yrs.,Population - Male,0
KOSHI,Taplejung,Mikwakhola Gaunpalika,95+ Yrs.,Population - Female,2
KOSHI,Taplejung,Meringden Gaunpalika,All Ages,Population - Total,11838
KOSHI,Taplejung,Meringden Gaunpalika,All Ages,Population - Male,5859
