Area (level 1),Area (level 2),Area (level 3),Age group in years,Indicator,Value
KOSHI,Morang,Sundarharaicha Municipality,50-54 Yrs.,Population - Female,3251
KOSHI,Morang,Sundarharaicha Municipality,55-59 Yrs.,Population - Total,4551
KOSHI,Morang,Sundarharaicha Municipality,55-59 Yrs.,Population - Male,2225
KOSHI,Morang,Sundarharaicha Municipality,55-59 Yrs.,Population - Female,2326
KOSHI,Morang,Sundarharaicha Municipality,60-64 Yrs.,Population - Total,4122
KOSHI,Morang,Sundarharaicha Municipality,60-64 Yrs.,Population - Male,1978
KOSHI,Morang,Sundarharaicha Municipality,60-64 Yrs.,Population - Female,2144
KOSHI,Morang,Sundarharaicha Municipality,65-69 Yrs.,Population - Total,3256
KOSHI,Morang,Sundarharaicha Municipality,65-69 Yrs.,Population - Male,1546
KOSHI,Morang,Sundarharaicha Municipality,65-69 Yrs.,Population - Female,1710
KOSHI,Morang,Sundarharaicha Municipality,70-74 Yrs.,Population - Total,2432
KOSHI,Morang,Sundarharaicha Municipality,70-74 Yrs.,Population - Male,1172
KOSHI,Morang,Sundarharaicha Municipality,70-74 Yrs.,Population - Female,1260
KOSHI,Morang,Sundarharaicha Municipality,75-79 Yrs.,Population - Total,1577
KOSHI,Morang,Sundarharaicha Municipality,75-79 Yrs.,Population - Male,750
KOSHI,Morang,Sundarharaicha Municipality,75-79 Yrs.,Population - Female,827
KOSHI,Morang,Sundarharaicha Municipality,80-84 Yrs.,Population - Total,799
KOSHI,Morang,Sundarharaicha Municipality,80-84 Yrs.,Population - Male,360
KOSHI,Morang,Sundarharaicha Municipality,80-84 Yrs.,Population - Female,439
KOSHI,Morang,Sundarharaicha Municipality,85-89 Yrs.,Population - Total,451
KOSHI,Morang,Sundarharaicha Municipality,85-89 Yrs.,Population - Male,189
KOSHI,Morang,Sundarharaicha Municipality,85-89 Yrs.,Population - Female,262
KOSHI,Morang,Sundarharaicha Municipality,90-94 Yrs.,Population - Total,152
KOSHI,Morang,Sundarharaicha Municipality,90-94 Yrs.,Population - Male,69
KOSHI,Morang,Sundarharaicha Municipality,90-94 Yrs.,Population - Female,83
KOSHI,Morang,Sundarharaicha Municipality,95+ Yrs.,Population - Total,59
KOSHI,Morang,Sundarharaicha Municipality,95+ Yrs.,Population - Male,18
KOSHI,Morang,Sundarharaicha Municipality,95+ Yrs.,Population - Female,41
KOSHI,Morang,Belbari Municipality,All Ages,Population - Total,81771
KOSHI,Morang,Belbari Municipality,All Ages,Population - Male,38297
KOSHI,Morang,Belbari Municipality,All Ages,Population - Female,43474
KOSHI,Morang,Belbari Municipality,00-04 Yrs.,Population - Total,5792
KOSHI,Morang,Belbari Municipality,00-04 Yrs.,Population - Male,2982
KOSHI,Morang,Belbari Municipality,00-04 Yrs.,Population - Female,2810
KOSHI,Morang,Belbari Municipality,05-09 Yrs.,Population - Total,7308
KOSHI,Morang,Belbari Municipality,05-09 Yrs.,Population - Male,3769
KOSHI,Morang,Belbari Municipality,05-09 Yrs.,Population - Female,3539
KOSHI,Morang,Belbari Municipality,10-14 Yrs.,Population - Total,7306
KOSHI,Morang,Belbari Municipality,10-14 Yrs.,Population - Male,3724
KOSHI,Morang,Belbari Municipality,10-14 Yrs.,Population - Female,3582
KOSHI,Morang,Belbari Municipality,15-19 Yrs.,Population - Total,7425
KOSHI,Morang,Belbari Municipality,15-19 Yrs.,Population - Male,3742
KOSHI,Morang,Belbari Municipality,15-19 Yrs.,Population - Female,3683
KOSHI,Morang,Belbari Municipality,20-24 Yrs.,Population - Total,6841
KOSHI,Morang,Belbari Municipality,20-24 Yrs.,Population - Male,3014
KOSHI,Morang,Belbari Municipality,20-24 Yrs.,Population - Female,3827
KOSHI,Morang,Belbari Municipality,25-29 Yrs.,Population - Total,6632
KOSHI,Morang,Belbari Municipality,25-29 Yrs.,Population - Male,2702
KOSHI,Morang,Belbari Municipality,25-29 Yrs.,Population - Female,3930
KOSHI,Morang,Belbari Municipality,30-34 Yrs.,Population - Total,6340
KOSHI,Morang,Belbari Municipality,30-34 Yrs.,Population - Male,2611
KOSHI,Morang,Belbari Municipality,30-34 Yrs.,Population - Female,3729
KOSHI,Morang,Belbari Municipality,35-39 Yrs.,Population - Total,6231
KOSHI,Morang,Belbari Municipality,35-39 Yrs.,Population - Male,2608
KOSHI,Morang,Belbari Municipality,35-39 Yrs.,Population - Female,3623
KOSHI,Morang,Belbari Municipality,40-44 Yrs.,Population - Total,5367
KOSHI,Morang,Belbari Municipality,40-44 Yrs.,Population - Male,2410
KOSHI,Morang,Belbari Municipality,40-44 Yrs.,Population - Female,2957
KOSHI,Morang,Belbari Municipality,45-49 Yrs.,Population - Total,4504
KOSHI,Morang,Belbari Municipality,45-49 Yrs.,Population - Male,2203
KOSHI,Morang,Belbari Municipality,45-49 Yrs.,Population - Female,2301
KOSHI,Morang,Belbari Municipality,50-54 Yrs.,Population - Total,4578
KOSHI,Morang,Belbari Municipality,50-54 Yrs.,Population - Male,2150
KOSHI,Morang,Belbari Municipality,50-54 Yrs.,Population - Female,2428
KOSHI,Morang,Belbari Municipality,55-59 Yrs.,Population - Total,3403
KOSHI,Morang,Belbari Municipality,55-59 Yrs.,Population - Male,1618
KOSHI,Morang,Belbari Municipality,55-59 Yrs.,Population - Female,1785
KOSHI,Morang,Belbari Municipality,60-64 Yrs.,Population - Total,3144
KOSHI,Morang,Belbari Municipality,60-64 Yrs.,Population - Male,1461
KOSHI,Morang,Belbari Municipality,60-64 Yrs.,Population - Female,1683
KOSHI,Morang,Belbari Municipality,65-69 Yrs.,Population - Total,2630
KOSHI,Morang,Belbari Municipality,65-69 Yrs.,Population - Male,1241
KOSHI,Morang,Belbari Municipality,65-69 Yrs.,Population - Female,1389
KOSHI,Morang,Belbari Municipality,70-74 Yrs.,Population - Total,2034
KOSHI,Morang,Belbari Municipality,70-74 Yrs.,Population - Male,1007
KOSHI,Morang,Belbari Municipality,70-74 Yrs.,Population - Female,1027
KOSHI,Morang,Belbari Municipality,75-79 Yrs.,Population - Total,1222
KOSHI,Morang,Belbari Municipality,75-79 Yrs.,Population - Male,584
KOSHI,Morang,Belbari Municipality,75-79 Yrs.,Population - Female,638
KOSHI,Morang,Belbari Municipality,80-84 Yrs.,Population - Total,567
KOSHI,Morang,Belbari Municipality,80-84 Yrs.,Population - Male,269
KOSHI,Morang,Belbari Municipality,80-84 Yrs.,Population - Female,298
KOSHI,Morang,Belbari Municipality,85-89 Yrs.,Population - Total,272
KOSHI,Morang,Belbari Municipality,85-89 Yrs.,Population - Male,128
KOSHI,Morang,Belbari Municipality,85-89 Yrs.,Population - Female,144
KOSHI,Morang,Belbari Municipality,90-94 Yrs.,Population - Total,121
KOSHI,Morang,Belbari Municipality,90-94 Yrs.,Population - Male,50
KOSHI,Morang,Belbari Municipality,90-94 Yrs.,Population - Female,71
KOSHI,Morang,Belbari Municipality,95+ Yrs.,Population - Total,54
KOSHI,Morang,Belbari Municipality,95+ Yrs.,Population - Male,24
KOSHI,Morang,Belbari Municipality,95+ Yrs.,Population - Female,30
KOSHI,Morang,Kanepokhari Gaunpalika,All Ages,Population - Total,43193
KOSHI,Morang,Kanepokhari Gaunpalika,All Ages,Population - Male,20405
KOSHI,Morang,Kanepokhari Gaunpalika,All Ages,Population - Female,22788
KOSHI,Morang,Kanepokhari Gaunpalika,00-04 Yrs.,Population - Total,3235
KOSHI,Morang,Kanepokhari Gaunpalika,00-04 Yrs.,Population - Male,1673
KOSHI,Morang,Kanepokhari Gaunpalika,00-04 Yrs.,Population - Female,1562
KOSHI,Morang,Kanepokhari Gaunpalika,05-09 Yrs.,Population - Total,3988
KOSHI,Morang,Kanepokhari Gaunpalika,05-09 Yrs.,Population - Male,2038
KOSHI,Morang,Kanepokhari Gaunpalika,05-09 Yrs.,Population - Female,1950
KOSHI,Morang,Kanepokhari Gaunpalika,10-14 Yrs.,Population - Total,3750
KOSHI,Morang,Kanepokhari Gaunpalika,10-14 Yrs.,Population - Male,1906
KOSHI,Morang,Kanepokhari Gaunpalika,10-14 Yrs.,Population - Female,1844
KOSHI,Morang,Kanepokhari Gaunpalika,15-19 Yrs.,Population - Total,3892
KOSHI,Morang,Kanepokhari Gaunpalika,15-19 Yrs.,Population - Male,1975
KOSHI,Morang,Kanepokhari Gaunpalika,15-19 Yrs.,Population - Female,1917
KOSHI,Morang,Kanepokhari Gaunpalika,20-24 Yrs.,Population - Total,3571
KOSHI,Morang,Kanepokhari Gaunpalika,20-24 Yrs.,Population - Male,1579
KOSHI,Morang,Kanepokhari Gaunpalika,20-24 Yrs.,Population - Female,1992
KOSHI,Morang,Kanepokhari Gaunpalika,25-29 Yrs.,Population - Total,3409
KOSHI,Morang,Kanepokhari Gaunpalika,25-29 Yrs.,Population - Male,1380
KOSHI,Morang,Kanepokhari Gaunpalika,25-29 Yrs.,Population - Female,2029
KOSHI,Morang,Kanepokhari Gaunpalika,30-34 Yrs.,Population - Total,3119
KOSHI,Morang,Kanepokhari Gaunpalika,30-34 Yrs.,Population - Male,1334
KOSHI,Morang,Kanepokhari Gaunpalika,30-34 Yrs.,Population - Female,1785
KOSHI,Morang,Kanepokhari Gaunpalika,35-39 Yrs.,Population - Total,3047
KOSHI,Morang,Kanepokhari Gaunpalika,35-39 Yrs.,Population - Male,1327
KOSHI,Morang,Kanepokhari Gaunpalika,35-39 Yrs.,Population - Female,1720
KOSHI,Morang,Kanepokhari Gaunpalika,40-44 Yrs.,Population - Total,2891
KOSHI,Morang,Kanepokhari Gaunpalika,40-44 Yrs.,Population - Male,1366
KOSHI,Morang,Kanepokhari Gaunpalika,40-44 Yrs.,Population - Female,1525
KOSHI,Morang,Kanepokhari Gaunpalika,45-49 Yrs.,Population - Total,2287
KOSHI,Morang,Kanepokhari Gaunpalika,45-49 Yrs.,Population - Male,1083
KOSHI,Morang,Kanepokhari Gaunpalika,45-49 Yrs.,Population - Female,1204
KOSHI,Morang,Kanepokhari Gaunpalika,50-54 Yrs.,Population - Total,2476
KOSHI,Morang,Kanepokhari Gaunpalika,50-54 Yrs.,Population - Male,1161
KOSHI,Morang,Kanepokhari Gaunpalika,50-54 Yrs.,Population - Female,1315
KOSHI,Morang,Kanepokhari Gaunpalika,55-59 Yrs.,Population - Total,1901
KOSHI,Morang,Kanepokhari Gaunpalika,55-59 Yrs.,Population - Male,915
KOSHI,Morang,Kanepokhari Gaunpalika,55-59 Yrs.,Population - Female,986
KOSHI,Morang,Kanepokhari Gaunpalika,60-64 Yrs.,Population - Total,1725
KOSHI,Morang,Kanepokhari Gaunpalika,60-64 Yrs.,Population - Male,798
KOSHI,Morang,Kanepokhari Gaunpalika,60-64 Yrs.,Population - Female,927
KOSHI,Morang,Kanepokhari Gaunpalika,65-69 Yrs.,Population - Total,1463
KOSHI,Morang,Kanepokhari Gaunpalika,65-69 Yrs.,Population - Male,713
KOSHI,Morang,Kanepokhari Gaunpalika,65-69 Yrs.,Population - Female,750
KOSHI,Morang,Kanepokhari Gaunpalika,70-74 Yrs.,Population - Total,1171
KOSHI,Morang,Kanepokhari Gaunpalika,70-74 Yrs.,Population - Male,572
KOSHI,Morang,Kanepokhari Gaunpalika,70-74 Yrs.,Population - Female,599
KOSHI,Morang,Kanepokhari Gaunpalika,75-79 Yrs.,Population - Total,630
KOSHI,Morang,Kanepokhari Gaunpalika,75-79 Yrs.,Population - Male,303
KOSHI,Morang,Kanepokhari Gaunpalika,75-79 Yrs.,Population - Female,327
KOSHI,Morang,Kanepokhari Gaunpalika,80-84 Yrs.,Population - Total,325
KOSHI,Morang,Kanepokhari Gaunpalika,80-84 Yrs.,Population - Male,153
KOSHI,Morang,Kanepokhari Gaunpalika,80-84 Yrs.,Population - Female,172
KOSHI,Morang,Kanepokhari Gaunpalika,85-89 Yrs.,Population - Total,203
KOSHI,Morang,Kanepokhari Gaunpalika,85-89 Yrs.,Population - Male,88
KOSHI,Morang,Kanepokhari Gaunpalika,85-89 Yrs.,Population - Female,115
KOSHI,Morang,Kanepokhari Gaunpalika,90-94 Yrs.,Population - Total,73
KOSHI,Morang,Kanepokhari Gaunpalika,90-94 Yrs.,Population - Male,34
KOSHI,Morang,Kanepokhari Gaunpalika,90-94 Yrs.,Population - Female,39
KOSHI,Morang,Kanepokhari Gaunpalika,95+ Yrs.,Population - Total,37
KOSHI,Morang,Kanepokhari Gaunpalika,95+ Yrs.,Population - Male,7
KOSHI,Morang,Kanepokhari Gaunpalika,95+ Yrs.,Population - Female,30
KOSHI,Morang,Pathari Shanishchare Municipality,All Ages,Population - Total,72451
KOSHI,Morang,Pathari Shanishchare Municipality,All Ages,Population - Male,33984
KOSHI,Morang,Pathari Shanishchare Municipality,All Ages,Population - Female,38467
KOSHI,Morang,Pathari Shanishchare Municipality,00-04 Yrs.,Population - Total,5345
KOSHI,Morang,Pathari Shanishchare Municipality,00-04 Yrs.,Population - Male,2747
KOSHI,Morang,Pathari Shanishchare Municipality,00-04 Yrs.,Population - Female,2598
KOSHI,Morang,Pathari Shanishchare Municipality,05-09 Yrs.,Population - Total,6713
KOSHI,Morang,Pathari Shanishchare Municipality,05-09 Yrs.,Population - Male,3450
KOSHI,Morang,Pathari Shanishchare Municipality,05-09 Yrs.,Population - Female,3263
KOSHI,Morang,Pathari Shanishchare Municipality,10-14 Yrs.,Population - Total,6284
KOSHI,Morang,Pathari Shanishchare Municipality,10-14 Yrs.,Population - Male,3216
KOSHI,Morang,Pathari Shanishchare Municipality,10-14 Yrs.,Population - Female,3068
KOSHI,Morang,Pathari Shanishchare Municipality,15-19 Yrs.,Population - Total,6699
KOSHI,Morang,Pathari Shanishchare Municipality,15-19 Yrs.,Population - Male,3401
KOSHI,Morang,Pathari Shanishchare Municipality,15-19 Yrs.,Population - Female,3298
KOSHI,Morang,Pathari Shanishchare Municipality,20-24 Yrs.,Population - Total,5913
KOSHI,Morang,Pathari Shanishchare Municipality,20-24 Yrs.,Population - Male,2569
KOSHI,Morang,Pathari Shanishchare Municipality,20-24 Yrs.,Population - Female,3344
KOSHI,Morang,Pathari Shanishchare Municipality,25-29 Yrs.,Population - Total,5931
KOSHI,Morang,Pathari Shanishchare Municipality,25-29 Yrs.,Population - Male,2310
KOSHI,Morang,Pathari Shanishchare Municipality,25-29 Yrs.,Population - Female,3621
KOSHI,Morang,Pathari Shanishchare Municipality,30-34 Yrs.,Population - Total,5672
KOSHI,Morang,Pathari Shanishchare Municipality,30-34 Yrs.,Population - Male,2348
KOSHI,Morang,Pathari Shanishchare Municipality,30-34 Yrs.,Population - Female,3324
KOSHI,Morang,Pathari Shanishchare Municipality,35-39 Yrs.,Population - Total,5622
KOSHI,Morang,Pathari Shanishchare Municipality,35-39 Yrs.,Population - Male,2470
KOSHI,Morang,Pathari Shanishchare Municipality,35-39 Yrs.,Population - Female,3152
KOSHI,Morang,Pathari Shanishchare Municipality,40-44 Yrs.,Population - Total,4741
KOSHI,Morang,Pathari Shanishchare Municipality,40-44 Yrs.,Population - Male,2169
KOSHI,Morang,Pathari Shanishchare Municipality,40-44 Yrs.,Population - Female,2572
KOSHI,Morang,Pathari Shanishchare Municipality,45-49 Yrs.,Population - Total,3756
KOSHI,Morang,Pathari Shanishchare Municipality,45-49 Yrs.,Population - Male,1814
KOSHI,Morang,Pathari Shanishchare Municipality,45-49 Yrs.,Population - Female,1942
KOSHI,Morang,Pathari Shanishchare Municipality,50-54 Yrs.,Population - Total,3734
KOSHI,Morang,Pathari Shanishchare Municipality,50-54 Yrs.,Population - Male,1760
KOSHI,Morang,Pathari Shanishchare Municipality,50-54 Yrs.,Population - Female,1974
KOSHI,Morang,Pathari Shanishchare Municipality,55-59 Yrs.,Population - Total,2938
KOSHI,Morang,Pathari Shanishchare Municipality,55-59 Yrs.,Population - Male,1366
KOSHI,Morang,Pathari Shanishchare Municipality,55-59 Yrs.,Population - Female,1572
KOSHI,Morang,Pathari Shanishchare Municipality,60-64 Yrs.,Population - Total,2883
KOSHI,Morang,Pathari Shanishchare Municipality,60-64 Yrs.,Population - Male,1344
KOSHI,Morang,Pathari Shanishchare Municipality,60-64 Yrs.,Population - Female,1539
KOSHI,Morang,Pathari Shanishchare Municipality,65-69 Yrs.,Population - Total,2317
KOSHI,Morang,Pathari Shanishchare Municipality,65-69 Yrs.,Population - Male,1133
KOSHI,Morang,Pathari Shanishchare Municipality,65-69 Yrs.,Population - Female,1184
KOSHI,Morang,Pathari Shanishchare Municipality,70-74 Yrs.,Population - Total,1795
KOSHI,Morang,Pathari Shanishchare Municipality,70-74 Yrs.,Population - Male,860
KOSHI,Morang,Pathari Shanishchare Municipality,70-74 Yrs.,Population - Female,935
KOSHI,Morang,Pathari Shanishchare Municipality,75-79 Yrs.,Population - Total,1057
KOSHI,Morang,Pathari Shanishchare Municipality,75-79 Yrs.,Population - Male,534
KOSHI,Morang,Pathari Shanishchare Municipality,75-79 Yrs.,Population - Female,523
KOSHI,Morang,Pathari Shanishchare Municipality,80-84 Yrs.,Population - Total,604
KOSHI,Morang,Pathari Shanishchare Municipality,80-84 Yrs.,Population - Male,285
KOSHI,Morang,Pathari Shanishchare Municipality,80-84 Yrs.,Population - Female,319
KOSHI,Morang,Pathari Shanishchare Municipality,85-89 Yrs.,Population - Total,285
KOSHI,Morang,Pathari Shanishchare Municipality,85-89 Yrs.,Population - Male,134
KOSHI,Morang,Pathari Shanishchare Municipality,85-89 Yrs.,Population - Female,151
KOSHI,Morang,Pathari Shanishchare Municipality,90-94 Yrs.,Population - Total,111
KOSHI,Morang,Pathari Shanishchare Municipality,90-94 Yrs.,Population - Male,50
KOSHI,Morang,Pathari Shanishchare Municipality,90-94 Yrs.,Population - Female,61
KOSHI,Morang,Pathari Shanishchare Municipality,95+ Yrs.,Population - Total,51
KOSHI,Morang,Pathari Shanishchare Municipality,95+ Yrs.,Population - Male,24
KOSHI,Morang,Pathari Shanishchare Municipality,95+ Yrs.,Population - Female,27
KOSHI,Morang,Urlabari Municipality,All Ages,Population - Total,70908
KOSHI,Morang,Urlabari Municipality,All Ages,Population - Male,33356
KOSHI,Morang,Urlabari Municipality,All Ages,Population - Female,37552
KOSHI,Morang,Urlabari Municipality,00-04 Yrs.,Population - Total,5027
KOSHI,Morang,Urlabari Municipality,00-04 Yrs.,Population - Male,2634
KOSHI,Morang,Urlabari Municipality,00-04 Yrs.,Population - Female,2393
KOSHI,Morang,Urlabari Municipality,05-09 Yrs.,Population - Total,6588
KOSHI,Morang,Urlabari Municipality,05-09 Yrs.,Population - Male,3369
KOSHI,Morang,Urlabari Municipality,05-09 Yrs.,Population - Female,3219
KOSHI,Morang,Urlabari Municipality,10-14 Yrs.,Population - Total,6286
KOSHI,Morang,Urlabari Municipality,10-14 Yrs.,Population - Male,3242
KOSHI,Morang,Urlabari Municipality,10-14 Yrs.,Population - Female,3044
KOSHI,Morang,Urlabari Municipality,15-19 Yrs.,Population - Total,6480
KOSHI,Morang,Urlabari Municipality,15-19 Yrs.,Population - Male,3221
KOSHI,Morang,Urlabari Municipality,15-19 Yrs.,Population - Female,3259
KOSHI,Morang,Urlabari Municipality,20-24 Yrs.,Population - Total,5738
KOSHI,Morang,Urlabari Municipality,20-24 Yrs.,Population - Male,2643
KOSHI,Morang,Urlabari Municipality,20-24 Yrs.,Population - Female,3095
KOSHI,Morang,Urlabari Municipality,25-29 Yrs.,Population - Total,5619
KOSHI,Morang,Urlabari Municipality,25-29 Yrs.,Population - Male,2208
KOSHI,Morang,Urlabari Municipality,25-29 Yrs.,Population - Female,3411
KOSHI,Morang,Urlabari Municipality,30-34 Yrs.,Population - Total,5373
KOSHI,Morang,Urlabari Municipality,30-34 Yrs.,Population - Male,2136
KOSHI,Morang,Urlabari Municipality,30-34 Yrs.,Population - Female,3237
KOSHI,Morang,Urlabari Municipality,35-39 Yrs.,Population - Total,5564
KOSHI,Morang,Urlabari Municipality,35-39 Yrs.,Population - Male,2339
KOSHI,Morang,Urlabari Municipality,35-39 Yrs.,Population - Female,3225
KOSHI,Morang,Urlabari Municipality,40-44 Yrs.,Population - Total,5193
KOSHI,Morang,Urlabari Municipality,40-44 Yrs.,Population - Male,2369
KOSHI,Morang,Urlabari Municipality,40-44 Yrs.,Population - Female,2824
KOSHI,Morang,Urlabari Municipality,45-49 Yrs.,Population - Total,4067
KOSHI,Morang,Urlabari Municipality,45-49 Yrs.,Population - Male,2021
KOSHI,Morang,Urlabari Municipality,45-49 Yrs.,Population - Female,2046
KOSHI,Morang,Urlabari Municipality,50-54 Yrs.,Population - Total,4081
KOSHI,Morang,Urlabari Municipality,50-54 Yrs.,Population - Male,1998
KOSHI,Morang,Urlabari Municipality,50-54 Yrs.,Population - Female,2083
KOSHI,Morang,Urlabari Municipality,55-59 Yrs.,Population - Total,2780
KOSHI,Morang,Urlabari Municipality,55-59 Yrs.,Population - Male,1385
KOSHI,Morang,Urlabari Municipality,55-59 Yrs.,Population - Female,1395
KOSHI,Morang,Urlabari Municipality,60-64 Yrs.,Population - Total,2526
KOSHI,Morang,Urlabari Municipality,60-64 Yrs.,Population - Male,1181
KOSHI,Morang,Urlabari Municipality,60-64 Yrs.,Population - Female,1345
KOSHI,Morang,Urlabari Municipality,65-69 Yrs.,Population - Total,1981
KOSHI,Morang,Urlabari Municipality,65-69 Yrs.,Population - Male,930
KOSHI,Morang,Urlabari Municipality,65-69 Yrs.,Population - Female,1051
KOSHI,Morang,Urlabari Municipality,70-74 Yrs.,Population - Total,1575
KOSHI,Morang,Urlabari Municipality,70-74 Yrs.,Population - Male,739
KOSHI,Morang,Urlabari Municipality,70-74 Yrs.,Population - Female,836
KOSHI,Morang,Urlabari Municipality,75-79 Yrs.,Population - Total,1010
KOSHI,Morang,Urlabari Municipality,75-79 Yrs.,Population - Male,463
KOSHI,Morang,Urlabari Municipality,75-79 Yrs.,Population - Female,547
KOSHI,Morang,Urlabari Municipality,80-84 Yrs.,Population - Total,564
KOSHI,Morang,Urlabari Municipality,80-84 Yrs.,Population - Male,273
KOSHI,Morang,Urlabari Municipality,80-84 Yrs.,Population - Female,291
KOSHI,Morang,Urlabari Municipality,85-89 Yrs.,Population - Total,303
KOSHI,Morang,Urlabari Municipality,85-89 Yrs.,Population - Male,137
KOSHI,Morang,Urlabari Municipality,85-89 Yrs.,Population - Female,166
KOSHI,Morang,Urlabari Municipality,90-94 Yrs.,Population - Total,105
KOSHI,Morang,Urlabari Municipality,90-94 Yrs.,Population - Male,51
KOSHI,Morang,Urlabari Municipality,90-94 Yrs.,Population - Female,54
KOSHI,Morang,Urlabari Municipality,95+ Yrs.,Population - Total,48
KOSHI,Morang,Urlabari Municipality,95+ Yrs.,Population - Male,17
KOSHI,Morang,Urlabari Municipality,95+ Yrs.,Population - Female,31
KOSHI,Morang,Ratuwamai Municipality,All Ages,Population - Total,61139
KOSHI,Morang,Ratuwamai Municipality,All Ages,Population - Male,28999
KOSHI,Morang,Ratuwamai Municipality,All Ages,Population - Female,32140
KOSHI,Morang,Ratuwamai Municipality,00-04 Yrs.,Population - Total,5220
KOSHI,Morang,Ratuwamai Municipality,00-04 Yrs.,Population - Male,2724
KOSHI,Morang,Ratuwamai Municipality,00-04 Yrs.,Population - Female,2496
KOSHI,Morang,Ratuwamai Municipality,05-09 Yrs.,Population - Total,6141
KOSHI,Morang,Ratuwamai Municipality,05-09 Yrs.,Population - Male,3113
KOSHI,Morang,Ratuwamai Municipality,05-09 Yrs.,Population - Female,3028
KOSHI,Morang,Ratuwamai Municipality,10-14 Yrs.,Population - Total,6012
KOSHI,Morang,Ratuwamai Municipality,10-14 Yrs.,Population - Male,3004
KOSHI,Morang,Ratuwamai Municipality,10-14 Yrs.,Population - Female,3008
KOSHI,Morang,Ratuwamai Municipality,15-19 Yrs.,Population - Total,5643
KOSHI,Morang,Ratuwamai Municipality,15-19 Yrs.,Population - Male,2750
KOSHI,Morang,Ratuwamai Municipality,15-19 Yrs.,Population - Female,2893
KOSHI,Morang,Ratuwamai Municipality,20-24 Yrs.,Population - Total,4841
KOSHI,Morang,Ratuwamai Municipality,20-24 Yrs.,Population - Male,2101
KOSHI,Morang,Ratuwamai Municipality,20-24 Yrs.,Population - Female,2740
KOSHI,Morang,Ratuwamai Municipality,25-29 Yrs.,Population - Total,4579
KOSHI,Morang,Ratuwamai Municipality,25-29 Yrs.,Population - Male,1841
KOSHI,Morang,Ratuwamai Municipality,25-29 Yrs.,Population - Female,2738
KOSHI,Morang,Ratuwamai Municipality,30-34 Yrs.,Population - Total,4146
KOSHI,Morang,Ratuwamai Municipality,30-34 Yrs.,Population - Male,1724
KOSHI,Morang,Ratuwamai Municipality,30-34 Yrs.,Population - Female,2422
KOSHI,Morang,Ratuwamai Municipality,35-39 Yrs.,Population - Total,4507
KOSHI,Morang,Ratuwamai Municipality,35-39 Yrs.,Population - Male,1984
KOSHI,Morang,Ratuwamai Municipality,35-39 Yrs.,Population - Female,2523
KOSHI,Morang,Ratuwamai Municipality,40-44 Yrs.,Population - Total,4009
KOSHI,Morang,Ratuwamai Municipality,40-44 Yrs.,Population - Male,1952
KOSHI,Morang,Ratuwamai Municipality,40-44 Yrs.,Population - Female,2057
KOSHI,Morang,Ratuwamai Municipality,45-49 Yrs.,Population - Total,3221
KOSHI,Morang,Ratuwamai Municipality,45-49 Yrs.,Population - Male,1558
KOSHI,Morang,Ratuwamai Municipality,45-49 Yrs.,Population - Female,1663
KOSHI,Morang,Ratuwamai Municipality,50-54 Yrs.,Population - Total,3096
KOSHI,Morang,Ratuwamai Municipality,50-54 Yrs.,Population - Male,1512
KOSHI,Morang,Ratuwamai Municipality,50-54 Yrs.,Population - Female,1584
KOSHI,Morang,Ratuwamai Municipality,55-59 Yrs.,Population - Total,2427
KOSHI,Morang,Ratuwamai Municipality,55-59 Yrs.,Population - Male,1183
KOSHI,Morang,Ratuwamai Municipality,55-59 Yrs.,Population - Female,1244
KOSHI,Morang,Ratuwamai Municipality,60-64 Yrs.,Population - Total,2294
KOSHI,Morang,Ratuwamai Municipality,60-64 Yrs.,Population - Male,1090
KOSHI,Morang,Ratuwamai Municipality,60-64 Yrs.,Population - Female,1204
KOSHI,Morang,Ratuwamai Municipality,65-69 Yrs.,Population - Total,1959
KOSHI,Morang,Ratuwamai Municipality,65-69 Yrs.,Population - Male,936
KOSHI,Morang,Ratuwamai Municipality,65-69 Yrs.,Population - Female,1023
KOSHI,Morang,Ratuwamai Municipality,70-74 Yrs.,Population - Total,1458
KOSHI,Morang,Ratuwamai Municipality,70-74 Yrs.,Population - Male,695
KOSHI,Morang,Ratuwamai Municipality,70-74 Yrs.,Population - Female,763
KOSHI,Morang,Ratuwamai Municipality,75-79 Yrs.,Population - Total,794
KOSHI,Morang,Ratuwamai Municipality,75-79 Yrs.,Population - Male,422
KOSHI,Morang,Ratuwamai Municipality,75-79 Yrs.,Population - Female,372
KOSHI,Morang,Ratuwamai Municipality,80-84 Yrs.,Population - Total,438
KOSHI,Morang,Ratuwamai Municipality,80-84 Yrs.,Population - Male,242
KOSHI,Morang,Ratuwamai Municipality,80-84 Yrs.,Population - Female,196
KOSHI,Morang,Ratuwamai Municipality,85-89 Yrs.,Population - Total,220
KOSHI,Morang,Ratuwamai Municipality,85-89 Yrs.,Population - Male,111
KOSHI,Morang,Ratuwamai Municipality,85-89 Yrs.,Population - Female,109
KOSHI,Morang,Ratuwamai Municipality,90-94 Yrs.,Population - Total,99
KOSHI,Morang,Ratuwamai Municipality,90-94 Yrs.,Population - Male,42
KOSHI,Morang,Ratuwamai Municipality,90-94 Yrs.,Population - Female,57
KOSHI,Morang,Ratuwamai Municipality,95+ Yrs.,Population - Total,35
KOSHI,Morang,Ratuwamai Municipality,95+ Yrs.,Population - Male,15
KOSHI,Morang,Ratuwamai Municipality,95+ Yrs.,Population - Female,20
