Area (level 1),Area (level 2),Area (level 3),sex,Indicator,Value
KOSHI,Taplejung,Phungling Municipality,Male,Relation of  household head - Grand Son/ Grand Daugher,1285
KOSHI,Taplejung,Phungling Municipality,Male,Relation of  household head - Other Relative,151
KOSHI,Taplejung,Phungling Municipality,Male,Relation of  household head - Domestic Helper,58
KOSHI,Taplejung,Phungling Municipality,Male,Relation of  household head - Not Related,57
KOSHI,Taplejung,Phungling Municipality,Male,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Phungling Municipality,Female,Total,14468
KOSHI,Taplejung,Phungling Municipality,Female,Relation of  household head - Household head,2224
KOSHI,Taplejung,Phungling Municipality,Female,Relation of  household head - Husband/ Wife,4071
KOSHI,Taplejung,Phungling Municipality,Female,Relation of  household head - Son / Daughter in Law,1452
KOSHI,Taplejung,Phungling Municipality,Female,Relation of  household head - Daughter/ Son in Law,4662
KOSHI,Taplejung,Phungling Municipality,Female,Relation of  household head - Father/ Mother,324
KOSHI,Taplejung,Phungling Municipality,Female,Relation of  household head - Father in Law/ Mother in Law,69
KOSHI,Taplejung,Phungling Municipality,Female,Relation of  household head - Brother/ Sister,286
KOSHI,Taplejung,Phungling Municipality,Female,Relation of  household head - Grand Son/ Grand Daugher,1122
KOSHI,Taplejung,Phungling Municipality,Female,Relation of  household head - Other Relative,223
KOSHI,Taplejung,Phungling Municipality,Female,Relation of  household head - Domestic Helper,15
KOSHI,Taplejung,Phungling Municipality,Female,Relation of  household head - Not Related,20
KOSHI,Taplejung,Phungling Municipality,Female,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Total,Total,11806
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Total,Relation of  household head - Household head,2705
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Total,Relation of  household head - Husband/ Wife,1943
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Total,Relation of  household head - Son / Daughter in Law,3562
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Total,Relation of  household head - Daughter/ Son in Law,1840
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Total,Relation of  household head - Father/ Mother,204
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Total,Relation of  household head - Father in Law/ Mother in Law,30
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Total,Relation of  household head - Brother/ Sister,208
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Total,Relation of  household head - Grand Son/ Grand Daugher,1177
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Total,Relation of  household head - Other Relative,107
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Total,Relation of  household head - Domestic Helper,3
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Total,Relation of  household head - Not Related,27
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Total,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Male,Total,5858
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Male,Relation of  household head - Household head,2097
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Male,Relation of  household head - Husband/ Wife,106
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Male,Relation of  household head - Son / Daughter in Law,2777
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Male,Relation of  household head - Daughter/ Son in Law,13
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Male,Relation of  household head - Father/ Mother,59
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Male,Relation of  household head - Father in Law/ Mother in Law,9
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Male,Relation of  household head - Brother/ Sister,108
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Male,Relation of  household head - Grand Son/ Grand Daugher,625
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Male,Relation of  household head - Other Relative,42
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Male,Relation of  household head - Domestic Helper,1
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Male,Relation of  household head - Not Related,21
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Male,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Female,Total,5948
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Female,Relation of  household head - Household head,608
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Female,Relation of  household head - Husband/ Wife,1837
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Female,Relation of  household head - Son / Daughter in Law,785
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Female,Relation of  household head - Daughter/ Son in Law,1827
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Female,Relation of  household head - Father/ Mother,145
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Female,Relation of  household head - Father in Law/ Mother in Law,21
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Female,Relation of  household head - Brother/ Sister,100
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Female,Relation of  household head - Grand Son/ Grand Daugher,552
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Female,Relation of  household head - Other Relative,65
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Female,Relation of  household head - Domestic Helper,2
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Female,Relation of  household head - Not Related,6
KOSHI,Taplejung,Pathivara Yangwarak Gaunpalika,Female,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Sirijanga Gaunpalika,Total,Total,14114
KOSHI,Taplejung,Sirijanga Gaunpalika,Total,Relation of  household head - Household head,3255
KOSHI,Taplejung,Sirijanga Gaunpalika,Total,Relation of  household head - Husband/ Wife,2466
KOSHI,Taplejung,Sirijanga Gaunpalika,Total,Relation of  household head - Son / Daughter in Law,4204
KOSHI,Taplejung,Sirijanga Gaunpalika,Total,Relation of  household head - Daughter/ Son in Law,2266
KOSHI,Taplejung,Sirijanga Gaunpalika,Total,Relation of  household head - Father/ Mother,262
KOSHI,Taplejung,Sirijanga Gaunpalika,Total,Relation of  household head - Father in Law/ Mother in Law,25
KOSHI,Taplejung,Sirijanga Gaunpalika,Total,Relation of  household head - Brother/ Sister,189
KOSHI,Taplejung,Sirijanga Gaunpalika,Total,Relation of  household head - Grand Son/ Grand Daugher,1223
KOSHI,Taplejung,Sirijanga Gaunpalika,Total,Relation of  household head - Other Relative,162
KOSHI,Taplejung,Sirijanga Gaunpalika,Total,Relation of  household head - Domestic Helper,5
KOSHI,Taplejung,Sirijanga Gaunpalika,Total,Relation of  household head - Not Related,57
KOSHI,Taplejung,Sirijanga Gaunpalika,Total,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Sirijanga Gaunpalika,Male,Total,7175
KOSHI,Taplejung,Sirijanga Gaunpalika,Male,Relation of  household head - Household head,2620
KOSHI,Taplejung,Sirijanga Gaunpalika,Male,Relation of  household head - Husband/ Wife,170
KOSHI,Taplejung,Sirijanga Gaunpalika,Male,Relation of  household head - Son / Daughter in Law,3460
KOSHI,Taplejung,Sirijanga Gaunpalika,Male,Relation of  household head - Daughter/ Son in Law,7
KOSHI,Taplejung,Sirijanga Gaunpalika,Male,Relation of  household head - Father/ Mother,72
KOSHI,Taplejung,Sirijanga Gaunpalika,Male,Relation of  household head - Father in Law/ Mother in Law,11
KOSHI,Taplejung,Sirijanga Gaunpalika,Male,Relation of  household head - Brother/ Sister,110
KOSHI,Taplejung,Sirijanga Gaunpalika,Male,Relation of  household head - Grand Son/ Grand Daugher,598
KOSHI,Taplejung,Sirijanga Gaunpalika,Male,Relation of  household head - Other Relative,77
KOSHI,Taplejung,Sirijanga Gaunpalika,Male,Relation of  household head - Domestic Helper,3
KOSHI,Taplejung,Sirijanga Gaunpalika,Male,Relation of  household head - Not Related,47
KOSHI,Taplejung,Sirijanga Gaunpalika,Male,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Sirijanga Gaunpalika,Female,Total,6939
KOSHI,Taplejung,Sirijanga Gaunpalika,Female,Relation of  household head - Household head,635
KOSHI,Taplejung,Sirijanga Gaunpalika,Female,Relation of  household head - Husband/ Wife,2296
KOSHI,Taplejung,Sirijanga Gaunpalika,Female,Relation of  household head - Son / Daughter in Law,744
KOSHI,Taplejung,Sirijanga Gaunpalika,Female,Relation of  household head - Daughter/ Son in Law,2259
KOSHI,Taplejung,Sirijanga Gaunpalika,Female,Relation of  household head - Father/ Mother,190
KOSHI,Taplejung,Sirijanga Gaunpalika,Female,Relation of  household head - Father in Law/ Mother in Law,14
KOSHI,Taplejung,Sirijanga Gaunpalika,Female,Relation of  household head - Brother/ Sister,79
KOSHI,Taplejung,Sirijanga Gaunpalika,Female,Relation of  household head - Grand Son/ Grand Daugher,625
KOSHI,Taplejung,Sirijanga Gaunpalika,Female,Relation of  household head - Other Relative,85
KOSHI,Taplejung,Sirijanga Gaunpalika,Female,Relation of  household head - Domestic Helper,2
KOSHI,Taplejung,Sirijanga Gaunpalika,Female,Relation of  household head - Not Related,10
KOSHI,Taplejung,Sirijanga Gaunpalika,Female,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Sidingba Gaunpalika,Total,Total,10979
KOSHI,Taplejung,Sidingba Gaunpalika,Total,Relation of  household head - Household head,2476
KOSHI,Taplejung,Sidingba Gaunpalika,Total,Relation of  household head - Husband/ Wife,1887
KOSHI,Taplejung,Sidingba Gaunpalika,Total,Relation of  household head - Son / Daughter in Law,3315
KOSHI,Taplejung,Sidingba Gaunpalika,Total,Relation of  household head - Daughter/ Son in Law,1869
KOSHI,Taplejung,Sidingba Gaunpalika,Total,Relation of  household head - Father/ Mother,203
KOSHI,Taplejung,Sidingba Gaunpalika,Total,Relation of  household head - Father in Law/ Mother in Law,25
KOSHI,Taplejung,Sidingba Gaunpalika,Total,Relation of  household head - Brother/ Sister,174
KOSHI,Taplejung,Sidingba Gaunpalika,Total,Relation of  household head - Grand Son/ Grand Daugher,918
KOSHI,Taplejung,Sidingba Gaunpalika,Total,Relation of  household head - Other Relative,98
KOSHI,Taplejung,Sidingba Gaunpalika,Total,Relation of  household head - Domestic Helper,1
KOSHI,Taplejung,Sidingba Gaunpalika,Total,Relation of  household head - Not Related,13
KOSHI,Taplejung,Sidingba Gaunpalika,Total,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Sidingba Gaunpalika,Male,Total,5531
KOSHI,Taplejung,Sidingba Gaunpalika,Male,Relation of  household head - Household head,2068
KOSHI,Taplejung,Sidingba Gaunpalika,Male,Relation of  household head - Husband/ Wife,56
KOSHI,Taplejung,Sidingba Gaunpalika,Male,Relation of  household head - Son / Daughter in Law,2719
KOSHI,Taplejung,Sidingba Gaunpalika,Male,Relation of  household head - Daughter/ Son in Law,5
KOSHI,Taplejung,Sidingba Gaunpalika,Male,Relation of  household head - Father/ Mother,68
KOSHI,Taplejung,Sidingba Gaunpalika,Male,Relation of  household head - Father in Law/ Mother in Law,7
KOSHI,Taplejung,Sidingba Gaunpalika,Male,Relation of  household head - Brother/ Sister,90
KOSHI,Taplejung,Sidingba Gaunpalika,Male,Relation of  household head - Grand Son/ Grand Daugher,463
KOSHI,Taplejung,Sidingba Gaunpalika,Male,Relation of  household head - Other Relative,45
KOSHI,Taplejung,Sidingba Gaunpalika,Male,Relation of  household head - Domestic Helper,1
KOSHI,Taplejung,Sidingba Gaunpalika,Male,Relation of  household head - Not Related,9
KOSHI,Taplejung,Sidingba Gaunpalika,Male,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Sidingba Gaunpalika,Female,Total,5448
KOSHI,Taplejung,Sidingba Gaunpalika,Female,Relation of  household head - Household head,408
KOSHI,Taplejung,Sidingba Gaunpalika,Female,Relation of  household head - Husband/ Wife,1831
KOSHI,Taplejung,Sidingba Gaunpalika,Female,Relation of  household head - Son / Daughter in Law,596
KOSHI,Taplejung,Sidingba Gaunpalika,Female,Relation of  household head - Daughter/ Son in Law,1864
KOSHI,Taplejung,Sidingba Gaunpalika,Female,Relation of  household head - Father/ Mother,135
KOSHI,Taplejung,Sidingba Gaunpalika,Female,Relation of  household head - Father in Law/ Mother in Law,18
KOSHI,Taplejung,Sidingba Gaunpalika,Female,Relation of  household head - Brother/ Sister,84
KOSHI,Taplejung,Sidingba Gaunpalika,Female,Relation of  household head - Grand Son/ Grand Daugher,455
KOSHI,Taplejung,Sidingba Gaunpalika,Female,Relation of  household head - Other Relative,53
KOSHI,Taplejung,Sidingba Gaunpalika,Female,Relation of  household head - Domestic Helper,0
KOSHI,Taplejung,Sidingba Gaunpalika,Female,Relation of  household head - Not Related,4
KOSHI,Taplejung,Sidingba Gaunpalika,Female,Relation of  household head - Not Stated,0
KOSHI,Taplejung,INSTITUTIONAL,Total,Total,1140
KOSHI,Taplejung,INSTITUTIONAL,Total,Relation of  household head - Household head,22
KOSHI,Taplejung,INSTITUTIONAL,Total,Relation of  household head - Husband/ Wife,0
KOSHI,Taplejung,INSTITUTIONAL,Total,Relation of  household head - Son / Daughter in Law,14
KOSHI,Taplejung,INSTITUTIONAL,Total,Relation of  household head - Daughter/ Son in Law,8
KOSHI,Taplejung,INSTITUTIONAL,Total,Relation of  household head - Father/ Mother,0
KOSHI,Taplejung,INSTITUTIONAL,Total,Relation of  household head - Father in Law/ Mother in Law,0
KOSHI,Taplejung,INSTITUTIONAL,Total,Relation of  household head - Brother/ Sister,0
KOSHI,Taplejung,INSTITUTIONAL,Total,Relation of  household head - Grand Son/ Grand Daugher,0
KOSHI,Taplejung,INSTITUTIONAL,Total,Relation of  household head - Other Relative,0
KOSHI,Taplejung,INSTITUTIONAL,Total,Relation of  household head - Domestic Helper,0
KOSHI,Taplejung,INSTITUTIONAL,Total,Relation of  household head - Not Related,1096
KOSHI,Taplejung,INSTITUTIONAL,Total,Relation of  household head - Not Stated,0
KOSHI,Taplejung,INSTITUTIONAL,Male,Total,1108
KOSHI,Taplejung,INSTITUTIONAL,Male,Relation of  household head - Household head,22
KOSHI,Taplejung,INSTITUTIONAL,Male,Relation of  household head - Husband/ Wife,0
KOSHI,Taplejung,INSTITUTIONAL,Male,Relation of  household head - Son / Daughter in Law,14
KOSHI,Taplejung,INSTITUTIONAL,Male,Relation of  household head - Daughter/ Son in Law,0
KOSHI,Taplejung,INSTITUTIONAL,Male,Relation of  household head - Father/ Mother,0
KOSHI,Taplejung,INSTITUTIONAL,Male,Relation of  household head - Father in Law/ Mother in Law,0
KOSHI,Taplejung,INSTITUTIONAL,Male,Relation of  household head - Brother/ Sister,0
KOSHI,Taplejung,INSTITUTIONAL,Male,Relation of  household head - Grand Son/ Grand Daugher,0
KOSHI,Taplejung,INSTITUTIONAL,Male,Relation of  household head - Other Relative,0
KOSHI,Taplejung,INSTITUTIONAL,Male,Relation of  household head - Domestic Helper,0
KOSHI,Taplejung,INSTITUTIONAL,Male,Relation of  household head - Not Related,1072
KOSHI,Taplejung,INSTITUTIONAL,Male,Relation of  household head - Not Stated,0
KOSHI,Taplejung,INSTITUTIONAL,Female,Total,32
KOSHI,Taplejung,INSTITUTIONAL,Female,Relation of  household head - Household head,0
KOSHI,Taplejung,INSTITUTIONAL,Female,Relation of  household head - Husband/ Wife,0
KOSHI,Taplejung,INSTITUTIONAL,Female,Relation of  household head - Son / Daughter in Law,0
KOSHI,Taplejung,INSTITUTIONAL,Female,Relation of  household head - Daughter/ Son in Law,8
KOSHI,Taplejung,INSTITUTIONAL,Female,Relation of  household head - Father/ Mother,0
KOSHI,Taplejung,INSTITUTIONAL,Female,Relation of  household head - Father in Law/ Mother in Law,0
KOSHI,Taplejung,INSTITUTIONAL,Female,Relation of  household head - Brother/ Sister,0
KOSHI,Taplejung,INSTITUTIONAL,Female,Relation of  household head - Grand Son/ Grand Daugher,0
KOSHI,Taplejung,INSTITUTIONAL,Female,Relation of  household head - Other Relative,0
KOSHI,Taplejung,INSTITUTIONAL,Female,Relation of  household head - Domestic Helper,0
KOSHI,Taplejung,INSTITUTIONAL,Female,Relation of  household head - Not Related,24
KOSHI,Taplejung,INSTITUTIONAL,Female,Relation of  household head - Not Stated,0
KOSHI,Sankhuwasabha,,Total,Total,158041
KOSHI,Sankhuwasabha,,Total,Relation of  household head - Household head,39173
KOSHI,Sankhuwasabha,,Total,Relation of  household head - Husband/ Wife,28345
KOSHI,Sankhuwasabha,,Total,Relation of  household head - Son / Daughter in Law,41697
KOSHI,Sankhuwasabha,,Total,Relation of  household head - Daughter/ Son in Law,25184
KOSHI,Sankhuwasabha,,Total,Relation of  household head - Father/ Mother,3824
KOSHI,Sankhuwasabha,,Total,Relation of  household head - Father in Law/ Mother in Law,812
KOSHI,Sankhuwasabha,,Total,Relation of  household head - Brother/ Sister,2564
KOSHI,Sankhuwasabha,,Total,Relation of  household head - Grand Son/ Grand Daugher,10568
KOSHI,Sankhuwasabha,,Total,Relation of  household head - Other Relative,2024
KOSHI,Sankhuwasabha,,Total,Relation of  household head - Domestic Helper,141
KOSHI,Sankhuwasabha,,Total,Relation of  household head - Not Related,3709
KOSHI,Sankhuwasabha,,Total,Relation of  household head - Not Stated,0
