Area and  sex,Category,Indicator,Value
Dolakha,Male,Not stated,8
Dolakha,Female,Population aged 5 years & above,83353
Dolakha,Female,Can read & write,53480
Dolakha,Female,Can read only,451
Dolakha,Female,Can't read & write,29420
Dolakha,Female,Not stated,2
Sindhupalchok,Total,Population aged 5 years & above,243758
Sindhupalchok,Total,Can read & write,165854
Sindhupalchok,Total,Can read only,767
Sindhupalchok,Total,Can't read & write,77134
Sindhupalchok,Total,Not stated,3
Sindhupalchok,Male,Population aged 5 years & above,119259
Sindhupalchok,Male,Can read & write,89751
Sindhupalchok,Male,Can read only,345
Sindhupalchok,Male,Can't read & write,29161
Sindhupalchok,Male,Not stated,2
Sindhupalchok,Female,Population aged 5 years & above,124499
Sindhupalchok,Female,Can read & write,76103
Sindhupalchok,Female,Can read only,422
Sindhupalchok,Female,Can't read & write,47973
Sindhupalchok,Female,Not stated,1
Rasuwa,Total,Population aged 5 years & above,42719
Rasuwa,Total,Can read & write,29732
Rasuwa,Total,Can read only,125
Rasuwa,Total,Can't read & write,12857
Rasuwa,Total,Not stated,5
Rasuwa,Male,Population aged 5 years & above,22023
Rasuwa,Male,Can read & write,16779
Rasuwa,Male,Can read only,65
Rasuwa,Male,Can't read & write,5175
Rasuwa,Male,Not stated,4
Rasuwa,Female,Population aged 5 years & above,20696
Rasuwa,Female,Can read & write,12953
Rasuwa,Female,Can read only,60
Rasuwa,Female,Can't read & write,7682
Rasuwa,Female,Not stated,1
Dhading,Total,Population aged 5 years & above,301687
Dhading,Total,Can read & write,218424
Dhading,Total,Can read only,783
Dhading,Total,Can't read & write,82454
Dhading,Total,Not stated,26
Dhading,Male,Population aged 5 years & above,146517
Dhading,Male,Can read & write,116138
Dhading,Male,Can read only,341
Dhading,Male,Can't read & write,30026
Dhading,Male,Not stated,12
Dhading,Female,Population aged 5 years & above,155170
Dhading,Female,Can read & write,102286
Dhading,Female,Can read only,442
Dhading,Female,Can't read & write,52428
Dhading,Female,Not stated,14
Nuwakot,Total,Population aged 5 years & above,244383
Nuwakot,Total,Can read & write,168798
Nuwakot,Total,Can read only,997
Nuwakot,Total,Can't read & write,74570
Nuwakot,Total,Not stated,18
Nuwakot,Male,Population aged 5 years & above,119062
Nuwakot,Male,Can read & write,91556
Nuwakot,Male,Can read only,449
Nuwakot,Male,Can't read & write,27047
Nuwakot,Male,Not stated,10
Nuwakot,Female,Population aged 5 years & above,125321
Nuwakot,Female,Can read & write,77242
Nuwakot,Female,Can read only,548
Nuwakot,Female,Can't read & write,47523
Nuwakot,Female,Not stated,8
Kathmandu,Total,Population aged 5 years & above,1926174
Kathmandu,Total,Can read & write,1718672
Kathmandu,Total,Can read only,10097
Kathmandu,Total,Can't read & write,197347
Kathmandu,Total,Not stated,58
Kathmandu,Male,Population aged 5 years & above,973638
Kathmandu,Male,Can read & write,917044
Kathmandu,Male,Can read only,3607
Kathmandu,Male,Can't read & write,52952
Kathmandu,Male,Not stated,35
Kathmandu,Female,Population aged 5 years & above,952536
Kathmandu,Female,Can read & write,801628
Kathmandu,Female,Can read only,6490
Kathmandu,Female,Can't read & write,144395
Kathmandu,Female,Not stated,23
Bhaktapur,Total,Population aged 5 years & above,404125
Bhaktapur,Total,Can read & write,355473
Bhaktapur,Total,Can read only,633
Bhaktapur,Total,Can't read & write,48015
Bhaktapur,Total,Not stated,4
Bhaktapur,Male,Population aged 5 years & above,203351
Bhaktapur,Male,Can read & write,191363
Bhaktapur,Male,Can read only,222
Bhaktapur,Male,Can't read & write,11765
Bhaktapur,Male,Not stated,1
Bhaktapur,Female,Population aged 5 years & above,200774
Bhaktapur,Female,Can read & write,164110
Bhaktapur,Female,Can read only,411
Bhaktapur,Female,Can't read & write,36250
Bhaktapur,Female,Not stated,3
Lalitpur,Total,Population aged 5 years & above,521265
Lalitpur,Total,Can read & write,459140
Lalitpur,Total,Can read only,938
Lalitpur,Total,Can't read & write,61174
Lalitpur,Total,Not stated,13
Lalitpur,Male,Population aged 5 years & above,260866
Lalitpur,Male,Can read & write,243668
Lalitpur,Male,Can read only,343
Lalitpur,Male,Can't read & write,16851
Lalitpur,Male,Not stated,4
Lalitpur,Female,Population aged 5 years & above,260399
Lalitpur,Female,Can read & write,215472
Lalitpur,Female,Can read only,595
Lalitpur,Female,Can't read & write,44323
Lalitpur,Female,Not stated,9
Kavrepalanchok,Total,Population aged 5 years & above,339440
Kavrepalanchok,Total,Can read & write,256899
Kavrepalanchok,Total,Can read only,984
Kavrepalanchok,Total,Can't read & write,81552
Kavrepalanchok,Total,Not stated,5
Kavrepalanchok,Male,Population aged 5 years & above,165867
Kavrepalanchok,Male,Can read & write,139558
Kavrepalanchok,Male,Can read only,418
Kavrepalanchok,Male,Can't read & write,25889
Kavrepalanchok,Male,Not stated,2
Kavrepalanchok,Female,Population aged 5 years & above,173573
Kavrepalanchok,Female,Can read & write,117341
Kavrepalanchok,Female,Can read only,566
Kavrepalanchok,Female,Can't read & write,55663
Kavrepalanchok,Female,Not stated,3
Ramechhap,Total,Population aged 5 years & above,159274
Ramechhap,Total,Can read & write,108500
Ramechhap,Total,Can read only,556
Ramechhap,Total,Can't read & write,50211
Ramechhap,Total,Not stated,7
Ramechhap,Male,Population aged 5 years & above,75154
Ramechhap,Male,Can read & write,58526
Ramechhap,Male,Can read only,239
Ramechhap,Male,Can't read & write,16386
Ramechhap,Male,Not stated,3
Ramechhap,Female,Population aged 5 years & above,84120
Ramechhap,Female,Can read & write,49974
Ramechhap,Female,Can read only,317
Ramechhap,Female,Can't read & write,33825
Ramechhap,Female,Not stated,4
Sindhuli,Total,Population aged 5 years & above,275899
Sindhuli,Total,Can read & write,200269
Sindhuli,Total,Can read only,658
Sindhuli,Total,Can't read & write,74931
Sindhuli,Total,Not stated,41
Sindhuli,Male,Population aged 5 years & above,134612
Sindhuli,Male,Can read & write,107732
Sindhuli,Male,Can read only,285
Sindhuli,Male,Can't read & write,26573
Sindhuli,Male,Not stated,22
Sindhuli,Female,Population aged 5 years & above,141287
Sindhuli,Female,Can read & write,92537
Sindhuli,Female,Can read only,373
Sindhuli,Female,Can't read & write,48358
Sindhuli,Female,Not stated,19
Makwanpur,Total,Population aged 5 years & above,429414
Makwanpur,Total,Can read & write,334161
Makwanpur,Total,Can read only,1112
Makwanpur,Total,Can't read & write,94136
Makwanpur,Total,Not stated,5
Makwanpur,Male,Population aged 5 years & above,214758
Makwanpur,Male,Can read & write,180405
Makwanpur,Male,Can read only,491
Makwanpur,Male,Can't read & write,33860
Makwanpur,Male,Not stated,2
Makwanpur,Female,Population aged 5 years & above,214656
Makwanpur,Female,Can read & write,153756
Makwanpur,Female,Can read only,621
Makwanpur,Female,Can't read & write,60276
Makwanpur,Female,Not stated,3
Chitawan,Total,Population aged 5 years & above,669392
Chitawan,Total,Can read & write,560119
Chitawan,Total,Can read only,2188
Chitawan,Total,Can't read & write,107052
Chitawan,Total,Not stated,33
Chitawan,Male,Population aged 5 years & above,324729
Chitawan,Male,Can read & write,288727
Chitawan,Male,Can read only,799
Chitawan,Male,Can't read & write,35190
Chitawan,Male,Not stated,13
Chitawan,Female,Population aged 5 years & above,344663
Chitawan,Female,Can read & write,271392
Chitawan,Female,Can read only,1389
Chitawan,Female,Can't read & write,71862
Chitawan,Female,Not stated,20
Gorkha,Total,Population aged 5 years & above,234195
Gorkha,Total,Can read & write,169477
Gorkha,Total,Can read only,2803
Gorkha,Total,Can't read & write,61598
Gorkha,Total,Not stated,317
Gorkha,Male,Population aged 5 years & above,109347
Gorkha,Male,Can read & write,88053
Gorkha,Male,Can read only,1052
Gorkha,Male,Can't read & write,20107
