province,district,palika,sex,breakdown,sector,value,district_code,province_code,palika_code
SUDURPASCHIM,Bajura,Himali Gaunpalika,,1 Child,40 - 44,15.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,1 Child,45 - 49,10.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,2 Children,Total ever married female,449.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,2 Children,15 - 19,6.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,2 Children,20 - 24,113.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,2 Children,25 - 29,130.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,2 Children,30 - 34,76.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,2 Children,35 - 39,52.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,2 Children,40 - 44,38.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,2 Children,45 - 49,34.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,3 Children,Total ever married female,356.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,3 Children,15 - 19,0.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,3 Children,20 - 24,23.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,3 Children,25 - 29,81.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,3 Children,30 - 34,87.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,3 Children,35 - 39,68.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,3 Children,40 - 44,51.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,3 Children,45 - 49,46.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,4 Children,Total ever married female,300.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,4 Children,15 - 19,0.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,4 Children,20 - 24,5.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,4 Children,25 - 29,15.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,4 Children,30 - 34,62.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,4 Children,35 - 39,70.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,4 Children,40 - 44,80.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,4 Children,45 - 49,68.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,5 Children,Total ever married female,118.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,5 Children,15 - 19,0.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,5 Children,20 - 24,0.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,5 Children,25 - 29,7.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,5 Children,30 - 34,12.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,5 Children,35 - 39,31.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,5 Children,40 - 44,38.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,5 Children,45 - 49,30.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,6 Children,Total ever married female,33.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,6 Children,15 - 19,0.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,6 Children,20 - 24,0.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,6 Children,25 - 29,2.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,6 Children,30 - 34,1.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,6 Children,35 - 39,8.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,6 Children,40 - 44,11.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,6 Children,45 - 49,11.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,7 Children,Total ever married female,14.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,7 Children,15 - 19,0.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,7 Children,20 - 24,0.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,7 Children,25 - 29,0.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,7 Children,30 - 34,3.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,7 Children,35 - 39,2.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,7 Children,40 - 44,3.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,7 Children,45 - 49,6.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,8 Children,Total ever married female,11.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,8 Children,15 - 19,0.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,8 Children,20 - 24,0.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,8 Children,25 - 29,0.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,8 Children,30 - 34,0.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,8 Children,35 - 39,1.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,8 Children,40 - 44,3.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,8 Children,45 - 49,7.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,9 & More Children,Total ever married female,9.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,9 & More Children,15 - 19,0.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,9 & More Children,20 - 24,0.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,9 & More Children,25 - 29,0.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,9 & More Children,30 - 34,0.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,9 & More Children,35 - 39,2.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,9 & More Children,40 - 44,1.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,9 & More Children,45 - 49,6.0,701,7,70105
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,Total,Total ever married female,1724.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,Total,15 - 19,67.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,Total,20 - 24,407.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,Total,25 - 29,258.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,Total,30 - 34,241.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,Total,35 - 39,284.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,Total,40 - 44,240.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,Total,45 - 49,227.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,No Children,Total ever married female,130.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,No Children,15 - 19,31.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,No Children,20 - 24,66.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,No Children,25 - 29,11.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,No Children,30 - 34,6.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,No Children,35 - 39,4.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,No Children,40 - 44,6.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,No Children,45 - 49,6.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,1 Child,Total ever married female,311.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,1 Child,15 - 19,31.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,1 Child,20 - 24,180.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,1 Child,25 - 29,61.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,1 Child,30 - 34,12.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,1 Child,35 - 39,11.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,1 Child,40 - 44,8.0,701,7,70104
